adjective;Frame_realisation;Frame_frequency
diffus;SUJ:NP;1
inexplicable;SUJ:NP;1
rétroactif;SUJ:NP;2
rétroactif;SUJ:NP,P-OBJ:PP[à];2
affaibli;SUJ:NP;1
risqué;SUJ:NP;3
franco-allemand;SUJ:NP;4
sacro-saint;SUJ:NP;2
byzantin;SUJ:NP;1
médiatique;SUJ:NP;4
ininterrompu;SUJ:NP;5
original;SUJ:NP;8
en fin de droits;SUJ:NP;1
technologique;SUJ:NP;9
syrien;SUJ:NP;4
orphelin;SUJ:NP,P-OBJ:PP[de];1
super;SUJ:NP;4
super;SUJ:NP,P-OBJ:PP[de];1
présent;SUJ:NP,P-OBJ:PP[sur];1
présent;SUJ:NP;22
présent;SUJ:NP,P-OBJ:PP[dans];7
présent;SUJ:NP,P-OBJ:PP[à];3
présent;SUJ:NP,P-OBJ:PP[en];2
confidentiel;SUJ:NP;3
vaste;SUJ:NP;16
ténu;SUJ:NP;4
filial;SUJ:NP;2
oléagineux;SUJ:NP;2
industrieux;SUJ:NP;1
crucial;SUJ:NP;3
tari;SUJ:NP;1
pourri;SUJ:NP;2
accompagné;SUJ:NP,P-OBJ:PP[de];1
spécial;SUJ:NP;16
univoque;SUJ:NP;1
initial;SUJ:NP;13
interminable;SUJ:NP;2
valable;SUJ:NP;4
valable;SUJ:NP,P-OBJ:PP[pour];1
multimédia;SUJ:NP;1
fameux;SUJ:NP;12
perspectif;SUJ:NP;3
exhaustif;SUJ:NP;2
sournois;SUJ:NP;2
continuel;SUJ:NP;1
hispanique;SUJ:NP;1
positif;SUJ:NP;36
de mauvais augure;SUJ:NP;1
nautique;SUJ:NP;1
infatigable;SUJ:NP;1
conjoncturel;SUJ:NP;17
prévisionnel;SUJ:NP;4
préoccupé;SUJ:NP,P-OBJ:PP[par];1
légendaire;SUJ:NP;2
florissant;SUJ:NP;6
boueux;SUJ:NP;1
fringant;SUJ:NP;1
hiérarchique;SUJ:NP;7
majoritaire;SUJ:NP;16
majoritaire;SUJ:NP,P-OBJ:PP[chez];2
indépendant;SUJ:NP;28
indépendant;SUJ:NP,P-OBJ:PP[de];4
triennal;SUJ:NP;1
type;SUJ:NP;1
condamné;SUJ:NP,P-OBJ:VPinf[à];1
cassé;SUJ:NP;2
vital;SUJ:NP;2
vital;SUJ:NP,P-OBJ:PP[pour];2
élever;SUJ:NP;2
féminin;SUJ:NP;8
coriace;SUJ:NP;1
péruvien;SUJ:NP;1
euro-américain;SUJ:NP;1
clientéliste;SUJ:NP;1
extensible;SUJ:NP;1
