code,name,code_postal,latitude,longitude,score
59249,fourmies,59610,50.006893732,4.05775002509,0
59252,frelinghien,59236,50.703109663,2.95178380263,0
59256,fretin,59273,50.5653657611,3.1322045776,0
59258,genech,59242,50.5285200565,3.22237664062,0
59259,ghissignies,59530,50.2277589853,3.61633962969,0
59260,ghyvelde,59254,51.0486014481,2.51379722419,0
59265,gommegnies,59144,50.2650047987,3.70836085584,0
59271,grande synthe,59760,51.0167874642,2.29071143357,-1
59285,haspres,59198,50.2650877152,3.41176296658,0
59286,haubourdin,59320,50.6044150332,2.98727183184,0
59297,helesmes,59171,50.3677526981,3.35840586833,0
59308,hondeghem,59190,50.7552272301,2.5153551845,0
59313,hordain,59111,50.2597936195,3.32675271349,0
59314,hornaing,59171,50.3696239428,3.33594044996,0
59329,lambres lez douai,59552,50.3542349649,3.05466709825,0
59333,larouillies,59219,50.0378159159,3.93206496317,0
59336,lecluse,59259,50.2765109082,3.03054584973,0
59340,leffrinckoucke,59495,51.0479753617,2.45468596825,0
59345,lewarde,59287,50.3367323265,3.16865198714,0
59346,lezennes,59260,50.6111691928,3.11824226491,0
59350,lille,59160,50.6317183168,3.04783272312,0
59357,la longueville,59570,50.2961357977,3.87102048316,0
59364,louvil,59830,50.5567255467,3.18952793321,0
59371,le maisnil,59134,50.6182693489,2.87754636769,0
59372,malincourt,59127,50.0351942091,3.32471130413,1
59374,marbaix,59440,50.1280580168,3.83650655237,0
59379,marcq en ostrevent,59252,50.2876828642,3.23484427567,0
59395,mazinghien,59360,50.049448426,3.59700862525,0
59400,merville,59660,50.6449293889,2.63582653422,0
59402,millam,59143,50.8559210958,2.25120770329,0
59403,millonfosse,59178,50.4291924594,3.37701536636,0
59406,monceau st waast,59620,50.1717846537,3.85726023625,0
59410,mons en baroeul,59370,50.6432478699,3.1087677878,0
59416,morbecque,59190,50.6768934286,2.53621614433,0
59424,neuf mesnil,59330,50.2653663974,3.90941211198,-1
59427,la neuville,59239,50.4968963031,3.05358974895,0
59442,obrechies,59680,50.2225324882,4.03683646675,0
59446,oisy,59195,50.3522308671,3.43281738814,0
59447,onnaing,59264,50.3867147723,3.59668401083,0
59451,orsinval,59530,50.2718570583,3.63293709102,0
59457,perenchies,59840,50.6700813687,2.96867396183,0
59458,peronne en melantois,59273,50.56433015,3.17149667698,0
59461,petit fayt,59244,50.1023567532,3.82607936534,-1
59462,phalempin,59133,50.5128963726,3.02222998505,0
59464,poix du nord,59218,50.185059973,3.61684782607,0
59465,pommereuil,59360,50.1169693319,3.58693750917,0
59474,prisches,59550,50.0779109986,3.75922395806,0
59482,quesnoy sur deule,59890,50.7129994523,3.00861966929,0
59484,quievrechain,59920,50.3920521291,3.65887590653,0
59485,quievy,59214,50.162969816,3.42160576023,0
59486,raches,59194,50.4201328892,3.13698851837,0
59494,raucourt au bois,59530,50.2067851455,3.6560114776,0
59498,reumont,59980,50.0851954003,3.47837512553,0
59509,roost warendin,59286,50.4147869735,3.10349816509,0
59514,rousies,59131,50.2712617008,3.99972723492,0
59520,rumilly en cambresis,59281,50.1304621675,3.22848231666,0
59529,st aubin,59440,50.1709642642,3.91201093007,0
59535,st jans cappel,59270,50.7684241988,2.72184821596,0
59536,ste marie cappel,59670,50.780208006,2.51589636551,0
59539,st pierre brouck,59630,50.8950694199,2.19025685455,0
59544,st saulve,59880,50.3750172475,3.56642418912,0
59547,st vaast en cambresis,59188,50.1944271461,3.43509312626,0
59549,salesches,59218,50.2082539959,3.59623286765,0
59554,sars et rosieres,59230,50.446729768,3.33012536259,0
59556,sassegnies,59145,50.1790384849,3.79850687638,0
59559,sebourg,59990,50.3441268565,3.64525979429,0
59560,seclin,59113,50.5462914067,3.03440410368,0
59562,semeries,59440,50.104983917,3.98854238684,0
59563,semousies,59440,50.1639637271,3.96792099301,0
59575,sommaing,59213,50.2674478954,3.49584685724,0
59583,taisnieres en thierache,59550,50.1455912411,3.81152119353,0
59585,templemars,59175,50.5706303055,3.0593969462,0
59599,tourcoing,59200,50.7254418902,3.15882757215,0
59602,tressin,59152,50.6172932924,3.18934892273,0
59603,trith st leger,59125,50.33056703,3.48645305133,0
59615,vieux berquin,59232,50.6932504715,2.62068917125,-1
59624,villers outreaux,59142,50.0297720966,3.29193521329,0
59625,villers plouich,59231,50.0789345355,3.13659590623,0
59638,wannehain,59830,50.5709754745,3.27007498669,0
59646,wasquehal,59290,50.6750984751,3.12858017096,0
59657,west cappel,59380,50.9254100501,2.50878268816,0
59663,wormhout,59470,50.8778557286,2.47860517129,0
59665,wylder,59380,50.9111679301,2.48735893081,0
60003,abbeville st lucien,60480,49.5201068363,2.16636536385,0
60015,angy,60250,49.334468969,2.32846218053,0
60016,ansacq,60250,49.350204752,2.36431728817,0
60022,apremont,60300,49.2286452463,2.5135789889,0
60029,auneuil,60390,49.3702714618,1.99554869838,0
60030,auteuil,60390,49.3450250122,2.09238872376,0
60031,autheuil en valois,60890,49.1792888729,3.06349602702,0
60034,avrechy,60130,49.4449120653,2.42380338592,0
60036,avrigny,60190,49.3890770811,2.57702799562,0
60039,bacouel,60120,49.6218428027,2.38266948973,0
60040,bailleul le soc,60190,49.4206214218,2.58376325171,0
60043,bailly,60170,49.4994561216,2.98240258389,0
60051,beaudeduit,60210,49.6788602196,2.05926915948,-1
60054,les hauts talican,60390,49.3254912942,2.00355965035,0
60066,bethancourt en valois,60129,49.2792326515,2.87566048733,0
60067,bethisy st martin,60320,49.2875795546,2.812008154,0
60072,bitry,60350,49.4145786012,3.07807803458,0
60081,bonlier,60510,49.4727781384,2.14990842093,-1
60088,bornel,60540,49.1918532269,2.18485090875,0
60090,bouconvillers,60240,49.1734900557,1.90034078826,0
60101,bregy,60440,49.0895785618,2.87413951706,0
60103,bresles,60510,49.4135603419,2.25008112215,0
60117,bussy,60400,49.6314236015,2.98056681507,0
60118,caisnes,60400,49.5201213587,3.06454486519,0
60122,campeaux,60220,49.6140351708,1.75497677348,0
60123,campremy,60480,49.5638031018,2.32696331161,0
60127,canny sur matz,60310,49.6025511779,2.80098340652,0
60133,catillon fumechon,60130,49.5268754931,2.37843374733,0
60141,chantilly,60500,49.1762641654,2.48103481914,0
60149,chevrieres,60710,49.3461074721,2.67968198793,0
60150,chiry ourscamp,60138,49.5303142759,2.97100668785,0
60155,cires les mello,60660,49.262678531,2.33736387513,0
60156,clairoix,60280,49.4412986705,2.8453991397,-1
60161,conteville,60360,49.6534471153,2.05414599318,0
60171,courtieux,60350,49.3852025965,3.08510106889,-1
60179,crevecoeur le petit,60420,49.5740115762,2.49886203911,1
60185,crouy en thelle,60530,49.2099385814,2.32007698271,0
60187,cuigy en bray,60850,49.4323341573,1.83507266626,0
60191,cuvilly,60490,49.5486898805,2.70082321252,0
60196,la drenne,60790,49.2942535417,2.11111174674,0
60199,domeliers,60360,49.6285305666,2.16465510243,0
60208,enencourt leage,60590,49.3046719364,1.84454960402,0
60214,ernemont boutavent,60380,49.5930690775,1.79502801856,0
60225,etouy,60600,49.4281067222,2.37019823319,0
60231,feigneux,60800,49.2609818537,2.91459037295,0
60234,fitz james,60600,49.3993972661,2.4291033299,0
60242,fontaine lavaganne,60690,49.5986219699,1.9543319916,0
60245,formerie,60220,49.6492986407,1.72801391707,0
60248,fouilloy,60220,49.7312722644,1.81819749576,0
60249,foulangues,60250,49.2769230112,2.31380236183,0
60253,francastel,60480,49.5898566137,2.14867375497,0
60256,montchevreuil,60240,49.2879395667,2.01083675138,0
60257,fresne leguillon,60240,49.2509113423,1.98912391608,0
60263,fretoy le chateau,60640,49.6618149905,2.97314954198,0
60280,gourchelles,60220,49.726483327,1.77900309327,0
60283,gouy les groseillers,60120,49.6953840868,2.21713981156,0
60284,grandfresnoy,60680,49.3762488165,2.65940543568,-1
60288,gremevillers,60380,49.5591317883,1.90615994772,0
60296,hannaches,60650,49.5087752838,1.80840356243,0
60298,hanvoile,60650,49.5090035202,1.8809988384,0
60302,haudivillers,60510,49.4869439837,2.24134168227,0
60305,hautefontaine,60350,49.3639288185,3.06265363799,-1
60311,la herelle,60120,49.598162118,2.422095572,0
60315,hodenc en bray,60650,49.4723304928,1.91021767615,0
60320,ivors,60141,49.2003314845,3.01881111858,0
60321,ivry le temple,60173,49.2320779777,2.02966880034,0
60344,lalandelle,60850,49.387187443,1.87215742547,0
60345,lamecourt,60600,49.4300920723,2.46503272341,1
60357,leglantiers,60420,49.4986729429,2.53214211935,0
60359,lheraule,60650,49.4882885044,1.93093330345,0
60377,maisoncelle tuilerie,60480,49.5897435077,2.21897451499,0
60386,marqueglise,60490,49.5158815481,2.7484137141,0
60395,meru,60110,49.2453722483,2.13541107599,0
60400,le mesnil sur bulles,60130,49.4823695987,2.34912415685,0
60404,mogneville,60140,49.3126555491,2.47328622083,0
60409,monchy st eloi,60290,49.2968280054,2.46847273697,0
60414,montataire,60160,49.2632645948,2.43135724334,0
60418,montiers,60190,49.5038812733,2.56965274789,0
60422,montlognon,60300,49.1557531066,2.70658027708,0
60426,montreuil sur therain,60134,49.3813378813,2.19419096108,0
60433,mortefontaine en thelle,60570,49.2651041736,2.18912997448,0
60434,mortemer,60490,49.568875217,2.6728130469,0
60435,morvillers,60380,49.5843809513,1.87218404343,0
60437,mouchy le chatel,60250,49.3245030423,2.24609957487,0
60440,moyenneville,60190,49.486855889,2.63341728898,-1
60442,muidorge,60480,49.5330704904,2.13567268039,0
60444,mureaumont,60220,49.62273366,1.7873657958,0
60449,neufvy sur aronde,60190,49.5092235216,2.65370398093,-1
60471,noyon,60400,49.5774343318,3.00799806171,0
60482,orry la ville,60560,49.140934755,2.50855732387,0
60483,orvillers sorel,60490,49.5744800615,2.71031705668,0
60488,passel,60400,49.5562386806,2.96570215096,0
60493,pisseleu,60860,49.5378600786,2.05641774458,0
60519,quesmy,60640,49.6320835228,3.05496542232,0
60523,rainvillers,60155,49.4070517504,1.99835502155,0
60526,ravenel,60130,49.5143827967,2.49905019788,0
60529,remecourt,60600,49.4300556144,2.49241906873,1
60530,remerangles,60510,49.4481992219,2.29023906853,0
60536,rhuis,60410,49.3044719658,2.69787230375,0
60540,rivecourt,60126,49.3462815732,2.73842909155,1
